SKU_Name,SKU,Price_Tier1,Description,Status
GBBstn1ozBlkCapSht,GBBstn1ozBlkCapSht,$0.45,"Boston round design 30ml, 1oz Clear glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",Found
GBBstnAmb15mlBlkCapSht,GBBstnAmb15mlBlkCapSht,$0.40,"Boston round design 15ml, 1/2 oz Amber glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",Found
GBBstnAmb15mlBlkDropperSlTrim,,,"Boston rounddesign15ml,1/2 oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb15mlWhtDropperSlTrim,,,"Boston rounddesign15ml,1/2 oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb15mlWhtDropperGlTrim,,,"Boston rounddesign15ml,1/2 oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb15mlBlkDropper,GBBstnAmb15mlBlkDropper,$0.64,"Boston round design 15ml, 1/2 oz Amber glass bottle with a black dropper. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.",Found
GBBstnAmb15mlWhtDropper,,,"Boston rounddesign15ml,1/2 oz Amber glass bottlewitha white dropper0.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu15BlkCapSht,GBBstnBlu15BlkCapSht,$0.40,"Boston round design 15ml, 1/2 oz Cobalt blue glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",Found
GBBstnBlu15mlBlkDropperSlTrim,,,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandblack dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu15WhtDrpSlTrim,,,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandwhite dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu15WhtDrpGlTrim,,,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandwhite dropperand ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
